Atom,Label,AMU,n1,E1,E_ionize,s1,l1,j1,Z,I,muI,Qb,A_Exp,B_Exp,n2,E2,Source,Corrflags,LongLable,A_Calc,pererror
Rb,Rb5S12,85.0,5.0,0.0,4.177128,0.5,0.0,0.5,37.0,2.5,1.35298,0.277,1011.91,0.0,6.0,2.496113,Metcalf,FHdelepsds,Rb5S12; FHdelepsds,1030.654759944282,1.852413746704945
Rb,Rb5P12,85.0,5.0,1.57923,4.177128,0.5,1.0,0.5,37.0,2.5,1.35298,0.277,120.72,0.0,6.0,2.946702,,FHdelepsds,Rb5P12; FHdelepsds,144.98154028373366,20.0973660402035
Rb,Rb5P32,85.0,5.0,1.57923,4.177128,0.5,1.0,1.5,37.0,2.5,1.35298,0.277,25.009,25.88,6.0,2.946702,,FHdelepsds,Rb5P32; FHdelepsds,26.1947647004059,4.741351914934229
Li6,Li62S12,6.0,2.0,0.0,5.391715,0.5,0.0,0.5,3.0,1.0,0.8220473,-0.00082,152.0,0.0,3.0,3.37313,Allegrini2022,FHdelepsds,Li62S12; FHdelepsds,158.38642107492245,4.2015928124489825
Li6,Li62p12,6.0,2.0,1.847818,5.391715,-0.5,1.0,0.5,3.0,1.0,0.8220473,-0.00082,17.675,0.0,3.0,3.834258,,RFHdelepsds,Li62p12; RFHdelepsds,18.556132374434426,4.985190237252762
Li6,Li62p32,6.0,2.0,1.84786,5.391715,0.5,1.0,1.5,3.0,1.0,0.8220473,-0.00082,-1.155,-0.1,3.0,3.834258,,FHdelepsds,Li62p32; FHdelepsds,-1.8530311227259457,60.435595041207414
Li6,Li63p32,6.0,3.0,3.834258,5.391715,0.5,1.0,1.5,3.0,1.0,0.8220473,-0.00082,-0.402,0.0,4.0,4.521648,,FHdelepsds,Li63p32; FHdelepsds,-0.5412494603046888,34.63916923002208
Li7,Li2S12,7.0,2.0,0.0,5.391715,0.5,0.0,0.5,3.0,1.5,3.256427,-0.0406,401.752,0.0,3.0,3.37313,Allegrini2022,FHdelepsds,Li2S12; FHdelepsds,418.27668917321864,4.113156667102748
Li7,Li2p12,7.0,2.0,1.847846,5.391715,-0.5,1.0,0.5,3.0,1.5,3.256427,-0.0406,45.914,0.0,3.0,3.834258,,RFHdelepsds,Li2p12; RFHdelepsds,49.003224341813095,6.728284056743244
Li7,Li2p32,7.0,2.0,1.847846,5.391715,0.5,1.0,1.5,3.0,1.5,3.256427,-0.0406,-3.055,-0.221,3.0,3.834258,,FHdelepsds,Li2p32; FHdelepsds,-4.8937009868958645,60.18661168235235
Li7,Li3p32,7.0,3.0,3.834258,5.391715,0.5,1.0,1.5,3.0,1.5,3.256427,-0.0406,-0.96,-0.019,4.0,4.521648,,FHdelepsds,Li3p32; FHdelepsds,-1.4293807590443641,48.89382906712127
Na,Na3p12,23.0,3.0,2.103718527,5.13907696,0.5,1.0,0.5,11.0,1.5,2.217522,0.1045,94.44,0.0,4.0,3.753091,,FHdelepsds,Na3p12; FHdelepsds,95.02292905783445,0.617248049379975
Na,Na3p32,23.0,3.0,2.103718527,5.13907696,0.5,1.0,1.5,11.0,1.5,2.217522,0.1045,18.8,2.9,4.0,3.753091,,FHdelepsds,Na3p32; FHdelepsds,18.851419619235635,0.2735086129555023
Na,Na3d32,23.0,3.0,3.6169733,5.13907696,0.5,2.0,1.5,11.0,1.5,2.217522,0.1045,0.527,0.0,4.0,4.2834982,,FHdelepsds,Na3d32; FHdelepsds,0.5589477178707702,6.062185554225848
Na,Na3d52,23.0,3.0,3.6169733,5.13907696,0.5,2.0,2.5,11.0,1.5,2.217522,0.1045,0.108,0.0,4.0,4.2834982,,FHdelepsds,Na3d52; FHdelepsds,0.23920646429809153,121.48746694267733
K40,K404s12,40.0,4.0,0.0,4.340663,0.5,0.0,0.5,19.0,4.0,-1.2981,-0.073,-285.7308,0.0,5.0,2.6069,,FHdelepsds,K404s12; FHdelepsds,-302.21094478578004,5.767717300963024
K40,K404p12,40.0,4.0,1.61472795,4.340663,0.5,1.0,0.5,19.0,4.0,-1.2981,-0.073,-34.523,0.0,5.0,3.0641314,,FHdelepsds,K404p12; FHdelepsds,-39.23466184164841,13.647892250524018
K40,K404p32,40.0,4.0,1.61472795,4.340663,0.5,1.0,1.5,19.0,4.0,-1.2981,-0.073,-7.585,-3.0,5.0,3.0641314,,FHdelepsds,K404p32; FHdelepsds,-7.650780227888536,0.8672409741402212
K,K5s12,39.0,5.0,2.6069601,4.3406633,0.5,0.0,0.5,19.0,1.5,0.39146,0.585,55.5,,6.0,3.403454,,FHdelepsds,K5s12; FHdelepsds,60.03051167711998,8.163084102918887
K,K6s12,39.0,6.0,3.4034543,4.3406633,0.5,0.0,0.5,19.0,1.5,0.39146,0.585,21.81,,7.0,3.7535285,,FHdelepsds,K6s12; FHdelepsds,23.739607276629098,8.84735110788216
K,K4p12,39.0,4.0,1.61472795,4.3406633,0.5,1.0,0.5,19.0,1.5,0.39146,0.585,27.775,,5.0,3.0641314,,FHdelepsds,K4p12; FHdelepsds,31.552079719618643,13.598846875314653
K,k4P32,39.0,4.0,1.61472795,4.3406633,0.5,1.0,1.5,19.0,1.5,0.39146,0.585,6.093,2.83,5.0,3.0641314,,FHdelepsds,k4P32; FHdelepsds,6.15252999305366,0.9770226990589224
K,K5P12,39.0,5.0,3.0641314,4.3406633,0.5,1.0,0.5,19.0,1.5,0.39146,0.585,8.99,,6.0,3.596149,,FHdelepsds,K5P12; FHdelepsds,9.910655945402075,10.240889270323413
K,K5P32,39.0,5.0,3.0641314,4.3406633,0.5,1.0,1.5,19.0,1.5,0.39146,0.585,1.932,0.87,6.0,3.596149,,FHdelepsds,K5P32; FHdelepsds,1.9325384727970263,0.027871262786042746
K,K3D32,39.0,3.0,2.6700745,4.3406633,-0.5,2.0,1.5,19.0,1.5,0.39146,0.585,1.111,-0.62,4.0,3.3968577,0.96,FHdelepsds,K3D32; FHdelepsds,0.8694097235624547,21.74529940932001
K,K3D52,39.0,3.0,2.6700745,4.3406633,0.5,2.0,2.5,19.0,1.5,0.39146,0.585,-0.639,,4.0,3.3968577,0.62,FHdelepsds,K3D52; FHdelepsds,0.3710129508158515,158.06149465036802
K,K5D32,39.0,5.0,3.7425183,4.3406633,-0.5,2.0,1.5,19.0,1.5,0.39146,0.585,0.44,,6.0,3.929804,,FHdelepsds,K5D32; FHdelepsds,0.19461105029514192,55.7702158420132
K,K5D52,39.0,5.0,3.7425183,4.3406633,0.5,2.0,2.5,19.0,1.5,0.39146,0.585,-0.24,,6.0,3.929804,,FHdelepsds,K5D52; FHdelepsds,0.08304855360429599,134.60356400178998
Cs,Cs7s12,133.0,7.0,2.2981127,3.893905,0.5,0.0,0.5,55.0,3.5,2.579,0.585,545.9,,8.0,3.014942277,,FHdelepsds,Cs7s12; FHdelepsds,570.2254478444147,4.456026349956901
Cs,Cs8s12,133.0,8.0,3.014942277,3.893905,0.5,0.0,0.5,55.0,3.5,2.579,0.585,219.0,,9.0,3.33649694,,FHdelepsds,Cs8s12; FHdelepsds,231.1953840872741,5.568668533001875
Cs,Cs6p12,133.0,6.0,1.431723334,3.893905,0.5,1.0,0.5,55.0,3.5,2.579,0.585,291.922,,7.0,2.713524,,FHdelepsds,Cs6p12; FHdelepsds,322.7431460512113,10.558007293458957
Cs,Cs6p32,133.0,6.0,1.431723334,3.893905,0.5,1.0,1.5,55.0,3.5,2.579,0.585,50.3,,7.0,2.713524,,FHdelepsds,Cs6p32; FHdelepsds,50.90437897337432,1.2015486548197296
Cs,Cs7p12,133.0,7.0,2.713524,3.893905,0.5,1.0,0.5,55.0,3.5,2.579,0.585,94.0,,8.0,3.194322,,FHdelepsds,Cs7p12; FHdelepsds,104.11295742509986,10.758465345850919
Cs,Cs7p32,133.0,7.0,2.713524,3.893905,0.5,1.0,1.5,55.0,3.5,2.579,0.585,16.6,,8.0,3.194322,,FHdelepsds,Cs7p32; FHdelepsds,16.421124679639583,1.077562170845896
Cs,Cs8p12,133.0,8.0,3.194322,3.893905,0.5,1.0,0.5,55.0,3.5,2.579,0.585,43.0,,9.0,3.43024408,,FHdelepsds,Cs8p12; FHdelepsds,47.131754961906495,9.608732469549988
Cs,Cs8p32,133.0,8.0,3.194322,3.893905,0.5,1.0,1.5,55.0,3.5,2.579,0.585,7.6,,9.0,3.43024408,,FHdelepsds,Cs8p32; FHdelepsds,7.433814615788645,2.186649792254668
Cs,Cs5d32,133.0,5.0,1.80493817,3.893905,0.5,2.0,1.5,55.0,3.5,2.579,0.585,48.78,0.1,6.0,2.8038456,,FHdelepsds,Cs5d32; FHdelepsds,20.394288927389923,58.191289611746775
Cs,Cs5d52,133.0,5.0,1.80493817,3.893905,0.5,2.0,2.5,55.0,3.5,2.579,0.585,-21.0,0.25,6.0,2.8038456,,FHdelepsds,Cs5d52; FHdelepsds,8.42426829214939,140.1155632959495
Cs,Cs6d32,133.0,6.0,2.8038456,3.893905,0.5,2.0,1.5,55.0,3.5,2.579,0.585,16.34,-0.1,7.0,3.2310775,,FHdelepsds,Cs6d32; FHdelepsds,7.819693743933645,52.143857136269
Cs,Cs6d52,133.0,6.0,2.8038456,3.893905,0.5,2.0,2.5,55.0,3.5,2.579,0.585,-4.69,,7.0,3.2310775,Literally no clue what the B values should be for this.,FHdelepsds,Cs6d52; FHdelepsds,3.2300806512978015,168.8716556779915
